label	text
spam	您已被选中获得独家内幕投资机会！只需支付$99即可获得价值$5000的金融课程+独家操盘群，点击链接立即锁定名额：https://shortened URLs.com【注意：此链接可能包含恶意脚本】  重复发送：本课程仅限前100名注册者，错过不再有！
normal	尊敬的张经理，以下是第三季度项目关键节点进展报告（2023-10-25） 1. 开发阶段完成度85% 2. 测试用例覆盖率达97% 3. 预计验收日期：2023-11-15 附件包含详细甘特图，请查收后回复确认  技术问题：服务器负载异常，已联系运维团队处理
normal	各位同事：根据最新进展，A/B测试模块已完成85%开发，请于12月8日前提交测试报告至jira.example.com。会议时间调整至周三14:00，地点不变。
normal	各位同事请注意：本周五下午14:00在A栋3层会议室召开季度项目评审会，请携带最新方案文档。会议议程已附于附件，重要提醒：提前10分钟签到.  - 项目管理部  会议时间：2023-10-06 14:00-17:00
normal	各位同事：2024年公司年度团建定于1月20日（周六）在杭州西湖国宾馆举行。请于1月15日前通过OA系统提交报名表，联系人：张经理 138-1234-5678。会议时间：09:00-17:00。附件为详细行程安排。
normal	各位团队伙伴：根据昨日的会议讨论，智能仓储系统V2.1测试已顺利完成。主要优化点包括：1. 库存预警响应速度提升40%；2. 条码扫描准确率提高至99.97%。请于本周五前提交测试报告至jira.example.com。如有疑问请联系技术组王工（138-1234-5678）。祝工作顺利！
normal	亲爱的张伟：您好！请于12月8日前提交第四季度差旅报销单至财务部，具体要求如下：1. 附电子发票原件；2. 说明报销事由及金额；3. 填写附件模板。如有疑问请联系财务部王莉（电话：13812345678）。祝工作顺利！  附件：2023Q4报销模板.xlsx
spam	恭喜您获得【限时100元现金红包】！点击链接立即领取：https://example.com/redpacket  🔥爆款商品限时5折：https://example.com/sale 🔥投资回报率35%项目：https://example.com/investment  ⚠️本活动仅限24小时内参与，逾期失效！
spam	尊敬的用户，恭喜您获得本季度幸运奖！点击链接立即领取：http://shortened.com/123456（有效期24小时）。本活动仅限新用户，请勿转发他人。祝您购物愉快！
spam	尊敬的用户您好！点击下方链接立即激活价值$199的终身会员特权！限时72小时，数量有限。优惠码：FREE2023！[点击领取](http://tinyurl.com/spam1) 警告：未点击链接视为放弃资格
spam	尊敬的用户，您的会员账户将于3天后自动终止。点击下方链接完成充值：https://shortlink123.com?code=VIP2023  限时特惠：充值100元得150元，赠送价值50元电子券（仅限今天）  注：未及时充值可能导致服务中断，请务必尽快操作！
normal	各位同事好！根据今日站会结论，移动端支付模块已完成核心功能开发（详见附件v2.3.1）。请注意： 1. 测试环境已部署至QA-Server 2. 请于明晨10点前反馈UI调整建议  会议纪要：https://work.example.com/join/20231126  祝工作顺利！ 技术部 王磊  [已通过企业邮箱安全认证]
normal	各位同事请注意：2024年第一季度项目会议定于2024-01-15（周三）14:00在A会议室召开。请携带最新设计方案准时参加。会议材料已上传至公司云盘：/proj/2024Q1/materials。如有疑问请联系项目经理张伟（zhangwei@example.com）。
normal	尊敬的股东：2024年度财务报告已通过董事会审核，具体内容详见附件。股东会议定于2024-03-15 14:00在总部会议室召开，请携带身份证件准时出席。特此通知。
normal	各位同事好，以下是第三季度项目进展和2024年1月关键会议时间表。请务必参加1月15日的产品发布会（时间：14:00-16:00，地点：A栋3层会议室）。附件包含详细会议议程和待审批的预算调整方案。如有疑问请联系pm@company.com。
normal	尊敬的张伟先生：您的订单（编号：20231230123456）已确认完成支付，电子版产品手册将通过邮件发送至您的注册邮箱。如需纸质版请回复本邮件。产品支持热线：400-800-1234
spam	恭喜您成为幸运用户！点击下方链接立即领取现金红包：https://spam-click.com reward2023  立即行动可额外获得：免费会员+全年购物折扣  （本邮件含3处诱导性链接）
normal	各位同事好，以下是第三季度项目进展：1. 完成系统架构设计（10/10）；2. 需求文档已提交（8/10）；3. 开发进度滞后2周，已协调增加人手。附件含详细甘特图，请查收。
normal	各位同事好，以下是当前项目进展：<br>1. 需求分析完成度85%<br>2. 技术方案已通过评审<br>3. 开发排期：2024-01-10至2024-02-15<br>请各部门确认分工，有问题请随时联系。
normal	尊敬的张经理，2024年第一季度项目进度已完成85%。附件为详细报告，请您在1月10日前反馈意见。如有疑问请联系项目组王工程师（电话：138-1234-5678）。
spam	尊敬的用户您好！您的邮箱已获得价值$999的终身会员资格，立即点击链接激活：https://safebonus.com激活页面（注意：此链接可能携带恶意代码）  限时福利：转发本邮件至3位好友可额外获得$50现金奖励！  点击查看会员权益：https://exclusiveoffer.com  （本邮件含5处高风险链接）
spam	您已被随机选中获得100万元现金奖励！点击链接【http://freebonus2023.com claim】立即领取，每日前100名可额外获得iPhone15！活动截止至12月31日，逾期无效。
spam	尊敬的用户您好！您已被选中参与苹果公司特别抽奖活动，点击下方链接即可免费领取价值5999元的iPhone 15+！[点击领取](http://temp-sys.com/20191231 iPhone.html) 活动仅限24小时，逾期无效。祝您好运！
normal	各位同事好，项目组已完成第三阶段开发，具体进展如下： 1. 用户登录模块（完成度100%） 2. 数据接口优化（完成度85%） 3. 剩余任务：支付系统对接 请于10月5日前反馈测试意见，会议时间：10月4日14:00（腾讯会议ID：123456）。
spam	恭喜您获得【2024年度幸运用户】资格！点击链接立即领取【$1000现金红包】：http://bit.ly/3xYq5X（每日限领1次）  额外赠送：点击注册即送【5个免费投资名额】（价值$500）  活动倒计时：2023-12-31 23:59:59
spam	尊敬的用户您好！您已获得本季度唯一免费名额，点击链接立即领取：https://freebonus.com.cn/redpackage/202312/abc123。本活动仅限前100名用户，过期失效。点击链接完成验证后，系统将自动发放奖金至您的支付宝账户。注意：本邮件含3个验证链接，勿轻易点击陌生网站！
normal	尊敬的各部门负责人：附件为2023年第三季度财务报表，请于10月5日前反馈预算调整意见。主要数据：营收同比增18%，净利润$2,450,000。重要事项：Q4营销预算已通过审批（详见附件2）。联系人：财务部张伟，电话：+86-138-1234-5678
normal	各位同事，附件为2023年各部门KPI总结报告，请于11月25日17:00前反馈修改意见。另定于12月1日（周五）在XX餐厅举办年度团建，请携带身份证件至前台登记。
spam	尊敬的用户您好！您已获得888元无门槛购物券，有效期至2023-12-31。点击链接立即兑换：http://www.fakelink.com?code=123456。本券可叠加使用，分享3人再得额外100元！立即行动，错过不再！
spam	恭喜您成为幸运用户！立即访问【http://freebonus.com】完成验证领取奖金，本活动仅限24小时有效。您的账户信息：账号123456，密码ABC123。注意：此邮件含病毒附件，谨慎打开！
spam	恭喜您被选中成为本年度幸运用户！点击链接立即领取奖金：<a href='http://fakebonus.com' target='_blank'>立即领奖</a>（本活动真实有效，奖品为虚拟货币）。<img src='http://tracking.scam.com/image.png' alt='中奖证书'>
spam	尊敬的用户，恭喜您获得2024年度幸运抽奖资格！点击下方链接立即领取奖金：https://safe-site123.com/claim?code=VX7Z3 （注意：此链接已通过SSL加密保护，请勿向他人泄露验证码）  特别提示：本活动仅限24小时内完成，逾期视为自动放弃。点击链接将跳转至官方支付页面，请确保账户余额充足。
normal	各位同事好：本周已完成用户登录模块开发（含JWT鉴权），测试环境部署进度达80%。下周计划：1）完成支付接口联调 2）优化前端首屏加载速度。请各部门反馈意见至jira-2023-Q4。祝工作顺利！
normal	尊敬的业主：您2023年10月的水费已产生，具体明细如下：  1. 基础水费：¥285.60 2. 峰值用电：¥45.20  请于11月15日前通过银行转账至： 账户名称：XX市水务集团 银行账号：6217****1234  如有疑问请联系：400-800-1234
spam	尊敬的用户您好！您的会员服务将于24小时内到期，点击下方链接立即续费（https://safe(arc)x.com），享受全年5折特权！本邮件含3条推广链接，请勿转发给他人。祝您购物愉快！
normal	尊敬的客户：附件为2023年第三季度财务报表，请查收确认。如有疑问请联系财务部张经理（电话：400-800-1234）。感谢您对公司的支持。
normal	各位同事好，以下是第三季度项目进展报告：1. 核心功能开发完成度85% 2. 测试环境部署完成 3. 下一步计划：12月5日前完成压力测试 附件包含详细数据报表（.xlsx）。请于本周五前反馈意见。
normal	各位同事请注意，根据项目组最新安排，第三季度产品开发计划已更新至附件。请于10月5日前完成部门内部评审会议。重要时间节点：10月12日原型演示，10月25日最终交付。
spam	尊敬的用户，您的邮箱服务即将在24小时内到期！点击下方链接立即完成充值：http://shortened link.com?code=VIP2024  限时福利：充值满100元额外赠送10元现金券  警惕诈骗：切勿向任何非官方渠道提供验证码！  （本邮件含5处超链接，含2张促销海报）
spam	尊敬的用户您好！我们诚邀您参与本次独家投资计划，预期年化收益率高达18%，前100名注册用户可额外获得500元现金奖励。点击下方链接立即签约：http://shortened.com投资计划（注意：该链接可能包含恶意代码）
spam	尊敬的用户您好！点击链接立即领取价值99元的VIP会员（链接：http://safe-site.com/claim），本活动仅限今日有效！点击参与>>http://safe-site.com/claim<<
spam	恭喜您获得【中奖资格】！点击链接立即领取：https://fraud.com/claim?code=XYZ123（限时24小时）  免费领取流程：1.复制链接 2.完成3步验证 3.秒到账！  注意：本活动仅限新用户，已有账户请勿重复领取
